target_id	length	eff_length	est_counts	tpm
PHYBL_100201T0	759	560.393	397	7.39837
PHYBL_100217T0	519	313.189	0	0
PHYBL_100229T0	879	713.609	305	4.46353
PHYBL_100240T0	900	759.369	320	4.40084
PHYBL_100304T0	996	871.592	33	0.395403
PHYBL_100335T0	984	823.885	387	4.9055
PHYBL_100373T0	507	301.22	0	0
PHYBL_100399T0	753	578.561	24	0.433212
PHYBL_100400T0	825	636.828	121	1.98428
PHYBL_100404T0	897	777.048	327	4.3948
PHYBL_100411T0	858	672.583	117	1.81668
PHYBL_100427T0	819	629.856	551	9.13585
PHYBL_100442T0	819	622.895	6135	102.858
PHYBL_100445T0	903	709.042	50	0.736439
PHYBL_100497T0	876	714.199	1531	22.3869
PHYBL_100505T0	738	558.739	314	5.86894
PHYBL_100540T0	786	624.543	826	13.812
PHYBL_100577T0	471	260.617	210	8.41503
PHYBL_100582T0	792	576.684	801	14.5055
PHYBL_100611T0	588	390.738	680	18.1745
PHYBL_100613T0	789	545.867	11	0.210448
PHYBL_100614T0	651	463.917	498	11.2106
PHYBL_100632T0	864	666.169	126	1.97526
PHYBL_100643T0	576	377.636	61	1.68692
PHYBL_100646T0	807	635.441	197	3.23765
PHYBL_100661T0	762	558.37	751	14.0461
PHYBL_100673T0	549	343.118	0	0
PHYBL_100690T0	831	628.347	415	6.89743
PHYBL_100694T0	543	358.543	289	8.41774
PHYBL_100719T0	714	538.079	203	3.93993
PHYBL_100772T0	639	465.195	169	3.79394
PHYBL_100837T0	732	566.125	271	4.99914
PHYBL_100857T0	741	534.951	0	0
PHYBL_100869T0	840	635.918	476	7.81708
PHYBL_100871T0	615	451.218	175	4.05033
PHYBL_100880T0	573	401.125	1158	30.1486
PHYBL_100882T0	792	642.439	162	2.63343
PHYBL_100883T0	792	641.854	818	13.3093
PHYBL_100890T0	639	469.517	180	4.00368
PHYBL_100895T0	639	453.407	230	5.29759
PHYBL_100923T0	531	345.136	207	6.26353
PHYBL_100991T0	756	512.441	21	0.427971
PHYBL_101010T0	564	344.944	64	1.93763
PHYBL_101025T0	756	553.042	142	2.68145
PHYBL_101035T0	654	453.79	100	2.30136
PHYBL_101037T0	720	540.699	320	6.18063
PHYBL_101073T0	795	641.784	115	1.87132
PHYBL_101082T0	528	327.313	264	8.42323
PHYBL_101092T0	576	382.944	1802	49.1426
PHYBL_101127T0	573	367.083	0	0
PHYBL_101129T0	468	278.02	48	1.80304
PHYBL_101143T0	216	45.2401	0	0
PHYBL_101207T0	570	366.799	451	12.8407
PHYBL_101235T0	570	359.738	204	5.9222
PHYBL_101239T0	669	498.503	270	5.65633
PHYBL_101252T0	642	443.272	148	3.48683
PHYBL_101260T0	714	520.206	208	4.17567
PHYBL_101264T0	156	27.0892	0	0
