target_id	length	eff_length	est_counts	tpm
PHYBL_100201T0	759	478.838	612	20.3408
PHYBL_100217T0	519	276.05	0	0
PHYBL_100229T0	879	618.008	554	14.2666
PHYBL_100240T0	900	653.3	282	6.86975
PHYBL_100304T0	996	754.798	52	1.09642
PHYBL_100335T0	984	722.081	856	18.8665
PHYBL_100373T0	507	264.104	0	0
PHYBL_100399T0	753	507.195	48	1.50616
PHYBL_100400T0	825	550.334	7	0.202431
PHYBL_100404T0	897	682.617	812	18.9314
PHYBL_100411T0	858	570.31	157	4.3812
PHYBL_100427T0	819	532.65	19	0.567697
PHYBL_100442T0	819	546.003	937	27.3118
PHYBL_100445T0	903	611.643	87	2.26374
PHYBL_100497T0	876	619.911	1057	27.1363
PHYBL_100505T0	738	489.549	465	15.1169
PHYBL_100540T0	786	532.554	1868	55.8236
PHYBL_100577T0	471	228.382	370	25.7836
PHYBL_100582T0	792	497.58	811	25.9396
PHYBL_100611T0	588	335.996	749	35.4774
PHYBL_100613T0	789	476.834	9	0.300386
PHYBL_100614T0	651	393.18	1293	52.3373
PHYBL_100632T0	864	563.196	88	2.48672
PHYBL_100643T0	576	311.769	130	6.63614
PHYBL_100646T0	807	549.782	313	9.06064
PHYBL_100661T0	762	477.026	1308	43.6386
PHYBL_100673T0	549	305.979	0	0
PHYBL_100690T0	831	564.649	739	20.8291
PHYBL_100694T0	543	288.593	177	9.76097
PHYBL_100719T0	714	450.285	364	12.8653
PHYBL_100772T0	639	396.566	115	4.61516
PHYBL_100837T0	732	492.879	382	12.3347
PHYBL_100857T0	741	473.559	0	0
PHYBL_100869T0	840	544.72	724	21.1529
PHYBL_100871T0	615	383.954	438	18.1551
PHYBL_100880T0	573	338.422	2706	127.255
PHYBL_100882T0	792	549.114	416	12.0569
PHYBL_100883T0	792	551.715	1422	41.0194
PHYBL_100890T0	639	397.574	323	12.9297
PHYBL_100895T0	639	371.816	251	10.7436
PHYBL_100923T0	531	277.939	303	17.3499
PHYBL_100991T0	756	456.641	26	0.906157
PHYBL_101010T0	564	289.444	114	6.26823
PHYBL_101025T0	756	472.588	132	4.44525
PHYBL_101035T0	654	370.899	170	7.29453
PHYBL_101037T0	720	462.952	544	18.7011
PHYBL_101073T0	795	528.914	218	6.55958
PHYBL_101082T0	528	258.732	541	33.2776
PHYBL_101092T0	576	304.549	1415	73.9442
PHYBL_101127T0	573	329.899	0	0
PHYBL_101129T0	468	225.428	35	2.47096
PHYBL_101143T0	216	41.0381	0	0
PHYBL_101207T0	570	303.105	2687	141.085
PHYBL_101235T0	570	294.077	418	22.6214
PHYBL_101239T0	669	413.82	516	19.8446
PHYBL_101252T0	642	378.984	226	9.49056
PHYBL_101260T0	714	449.802	279	9.8716
PHYBL_101264T0	156	37.7652	0	0
PHYBL_101272T0	588	336.009	96	4.547
PHYBL_101274T0	720	476.807	0	0
PHYBL_101283T0	720	441.546	3.136	0.113033
PHYBL_101322T0	606	362.849	0	0
PHYBL_101372T0	591	332.051	1123	53.8244
PHYBL_101383T0	594	332.576	146	6.9866
PHYBL_101399T0	588	331.726	83	3.98201
PHYBL_101433T0	663	394.835	1019	41.0736
PHYBL_101503T0	696	427.089	180	6.70747
PHYBL_101513T0	642	370.607	113	4.85255
PHYBL_101552T0	675	442.622	1903	68.4243
PHYBL_101640T0	648	380.477	981	41.0341
PHYBL_101648T0	390	150.274	132	13.9796
PHYBL_101790T0	648	460.923	539	18.6108
PHYBL_101810T0	603	333.801	1115	53.1608
PHYBL_10188T0	3057	2851.87	246	1.37281
PHYBL_101903T0	549	286.208	1	0.0556061
PHYBL_101906T0	477	234.305	488	33.1469
PHYBL_102003T0	504	261.113	0	0
PHYBL_102004T0	507	264.104	0	0
PHYBL_102018T0	492	249.172	1	0.0638712
PHYBL_102019T0	537	260.795	41	2.50201
PHYBL_102021T0	492	249.172	1	0.0638712
PHYBL_102024T0	537	272.535	18.8332	1.09978
PHYBL_102026T0	537	270.831	72.9228	4.28518
PHYBL_102041T0	519	256.24	3.44414	0.213914
PHYBL_102049T0	531	288.013	0	0
PHYBL_102050T0	600	343.893	296	13.6985
PHYBL_102063T0	573	313.428	751	38.1335
PHYBL_102084T0	543	299.984	0	0
PHYBL_102089T0	540	306.615	4.32982	0.224741
PHYBL_102100T0	540	296.989	0	0
PHYBL_102101T0	528	285.027	0	0
PHYBL_102109T0	540	296.989	0	0
PHYBL_102112T0	540	296.989	0	0
PHYBL_102113T0	540	296.989	0	0
PHYBL_102124T0	516	271.866	17	0.995174
PHYBL_102129T0	540	313.41	8.99286	0.456656
PHYBL_102132T0	540	296.989	0	0
PHYBL_102135T0	540	296.989	0	0
PHYBL_102136T0	540	296.989	0	0
PHYBL_102152T0	540	296.989	0	0
PHYBL_102153T0	324	94.3934	0	0
PHYBL_102157T0	540	296.989	0	0
PHYBL_102160T0	540	315.497	34	1.7151
PHYBL_102164T0	540	296.989	0	0
PHYBL_102175T0	540	296.989	0	0
PHYBL_102179T0	540	296.989	0	0
PHYBL_102181T0	540	296.989	0	0
PHYBL_102185T0	501	258.122	0	0
PHYBL_102198T0	534	291.008	0	0
PHYBL_102202T0	531	276.364	3	0.17276
PHYBL_102204T0	534	291.008	0	0
PHYBL_102215T0	498	255.13	0	0
PHYBL_102220T0	531	288.013	0	0
PHYBL_102221T0	531	279.672	2.50198	0.142377
PHYBL_102222T0	531	288.013	0	0
PHYBL_102225T0	531	295.997	69.4629	3.73482
PHYBL_102227T0	531	288.013	0	0
PHYBL_102236T0	531	294.752	12.2534	0.661612
PHYBL_102238T0	531	281.447	2.49802	0.141255
PHYBL_102239T0	531	288.013	0	0
PHYBL_102250T0	531	288.013	0	0
PHYBL_102252T0	531	288.013	0	0
PHYBL_102253T0	531	288.013	0	0
PHYBL_102255T0	531	274.896	2	0.115789
PHYBL_102272T0	531	288.013	0	0
PHYBL_102296T0	531	288.013	0	0
PHYBL_102304T0	531	288.013	0	0
PHYBL_102309T0	528	285.027	0	0
PHYBL_102310T0	528	285.027	0	0
PHYBL_102311T0	528	282.357	85	4.79098
PHYBL_102312T0	528	279.53	6	0.341607
PHYBL_102313T0	513	270.082	0	0
PHYBL_102316T0	531	288.013	0	0
PHYBL_102318T0	528	285.027	0	0
PHYBL_102322T0	498	255.13	0	0
PHYBL_102328T0	528	285.027	0	0
PHYBL_102330T0	522	279.032	0	0
PHYBL_102333T0	522	262.094	54	3.279
PHYBL_102335T0	207	39.3042	2	0.809834
PHYBL_102363T0	516	273.069	0	0
PHYBL_102373T0	441	198.926	1	0.0800043
PHYBL_102376T0	471	228.382	0	0
PHYBL_102385T0	237	46.6108	17	5.80453
PHYBL_102389T0	504	261.113	0	0
PHYBL_102406T0	489	246.205	694	44.8608
PHYBL_102412T0	273	62.0618	2.73913	0.702413
PHYBL_102425T0	279	65.3547	0	0
PHYBL_102450T0	258	54.8564	0	0
PHYBL_102468T0	510	267.082	0	0
PHYBL_102474T0	513	271.354	59.2801	3.47679
PHYBL_102485T0	513	270.082	0	0
PHYBL_102486T0	531	278.239	39	2.23075
PHYBL_102505T0	411	170.04	345	32.2903
PHYBL_102509T0	492	248.056	8	0.51327
PHYBL_102534T0	492	249.172	0	0
PHYBL_102536T0	492	249.172	0	0
PHYBL_102563T0	363	126.06	161	20.3261
PHYBL_102585T0	396	155.871	170	17.3575
PHYBL_102599T0	390	150.274	282	29.8654
PHYBL_102610T0	414	172.908	3445	317.088
PHYBL_102618T0	306	81.7034	48	9.34987
PHYBL_102727T0	246	50.0147	115	36.5936
PHYBL_102741T0	312	85.8083	162	30.0463
PHYBL_102763T0	393	153.049	47	4.88735
PHYBL_102790T0	432	190.209	196	16.3995
PHYBL_102826T0	495	252.164	575	36.2902
PHYBL_102842T0	426	184.391	102	8.80371
PHYBL_102846T0	417	175.752	193	17.4767
PHYBL_102850T0	417	175.752	1250	113.191
PHYBL_102906T0	456	213.603	165	12.2937
PHYBL_102927T0	453	210.638	625	47.2223
PHYBL_102930T0	303	79.7455	27	5.38843
PHYBL_102956T0	450	207.715	82	6.28276
PHYBL_102959T0	357	120.915	5041	663.5
PHYBL_102969T0	441	198.926	209	16.7209
PHYBL_102972T0	345	110.9	161	23.1046
